,电影名,上映日期,票房(万元),平均票价,场均人数,豆瓣评分,豆瓣评论数,导演,演员,类型,地区,语言,时长
90,生化危机：终章,2017-02-24,110949,34.683666,20,6.5,255705,['保罗·安德森'],"['米拉·乔沃维奇', '伊恩·格雷', '艾丽·拉特', '鲁比·罗丝', '李准基', '肖恩·罗伯茨', '威廉·莱维', '欧文·马肯', '萝拉', '艾尔·安德森', '密尔顿·施尔', '西沃恩·霍奇森', '凯文·奥托', '保罗·汉普赛尔']","['动作', '科幻', '恐怖']","['美国', '德国', '法国', '加拿大', '南非', '澳大利亚', '英国', '日本', '中国大陆']",['英语'],106
91,攀登者,2019-09-30,110433,36.990734,21,6.0,313027,['李仁港'],"['吴京', '章子怡', '井柏然', '张译', '胡歌', '成龙', '陈龙', '多布杰', '何琳', '刘小锋', '拉旺罗布', '曲尼次仁', '王景春']","['剧情', '爱情', '冒险']",['中国大陆'],"['汉语普通话', '藏语']",125
92,变形金刚3,2011-07-21,107095,41.80155,54,7.2,339111,['迈克尔·贝'],"['希亚·拉博夫', '罗茜·汉丁顿-惠特莉', '乔什·杜哈明', '约翰·特托罗', '泰瑞斯·吉布森', '帕特里克·德姆西', '弗兰西斯·麦克多蒙德', '约翰·马尔科维奇', '凯文·杜恩', '朱丽叶·怀特', '艾伦·图代克', '郑肯', '格伦·莫肖尔', '莱斯特·斯派特', '巴兹·奥德林', '比尔·奥雷利', '拉维尔·伊斯亚诺夫', 'Dustin Dennard', '斯科特·C·罗伊', '詹姆斯·D·韦斯顿二世', '米卡尔·威戈', '肯尼·谢尔德', '乔什·凯利', '安庆名惠子', '拉莫尼卡·加勒特', '约翰托宾', '拉里·克拉克', '汤姆·维图', '托马斯·克劳福德', '凯文·塞兹摩尔', '阿兰·皮特鲁塞泽维斯基', '迈克尔·丹尼尔·卡萨迪', '皮特·穆尔尼克', '唐·詹尼斯', '大卫·圣.詹姆斯', '埃利亚·巴斯金', '因纳·克洛姬娜', '凯瑟琳·加蒂', '克里斯·谢菲尔德', '肯·竹本', '明迪·斯特林', '斯蒂芬·泰勒', '安德鲁·达利', '斯科特·克林斯基', '凯瑟琳·西吉斯蒙德', '麦丽·弗拉纳甘', '杰克·阿克塞尔罗德', '梅乐迪丝·梦露', '珍妮弗·威廉姆斯', '丹尼·麦卡锡', '约翰·图尔克', '伊克博·塞巴', '安东尼·阿吉吉', '萨米·谢伊克', '马克·瑞安', '彼特·库伦', '雨果·维文', '伦纳德·尼莫伊', '杰斯·哈梅尔', '查尔斯·阿德勒', '罗伯特·福克沃斯', '詹姆斯·瑞马尔', '弗朗西斯科·奎因', '乔治·科', '汤姆·肯尼', '雷诺·维尔森']","['动作', '科幻']",['美国'],"['英语', '西班牙语', '俄语', '荷兰语']",154
93,侏罗纪世界3,2022-06-10,105956,35.564457,8,6.0,230232,['科林·特莱沃若'],"['克里斯·帕拉特', '布莱丝·达拉斯·霍华德', '劳拉·邓恩', '山姆·尼尔', '杰夫·高布伦', '德汪达·怀斯', '马莫多·阿西', '伊莎贝拉·瑟蒙', '坎贝尔·斯科特', '黄荣亮', '奥玛·希', '贾斯蒂斯·史密斯', '丹妮艾拉·皮内达', '斯科特·黑兹', '迪辰·拉克曼', '克里斯托弗·普拉哈', '芙蕾雅·帕克', '亚历山大·欧文', '埃尔娃·崔尔', '特蕾莎·森登·加西亚', '瓦拉达·塞图', '本·阿什登', '小恩佐·斯奎利诺', '格利尼斯·戴维斯', '摩西·布林斯·普兰提', '柯基·法尔考', '迪米特里“维加斯”蒂瓦约', '乔·阿佐帕迪', '本·库克', '伯纳多·桑托斯']","['动作', '科幻', '冒险']","['美国', '马耳他']",['英语'],146
94,巨齿鲨,2018-08-10,105373,38.287136,21,5.7,209549,['乔·德特杜巴'],"['杰森·斯坦森', '李冰冰', '雷恩·威尔森', '鲁比·罗丝', '赵文瑄', '佩吉·肯尼迪', '杰西卡·麦克娜美', '奥拉维尔·达里·奥拉夫松', '罗伯特·泰勒', '蔡书雅', '丘增', '克利夫·柯蒂斯', '安柚鑫', '罗伯·基帕-威廉姆斯', '维他亚·潘斯林加姆', '安得烈·格兰杰', '蒂姆·王', '史蒂文·A·戴维斯', '托万达·马尼莫', '买红妹']","['动作', '科幻', '惊悚']","['美国', '中国大陆', '中国香港']","['英语', '汉语普通话', '泰语']",115
95,乘风破浪,2017-01-28,104605,36.31127,27,6.8,573913,['韩寒'],"['邓超', '彭于晏', '赵丽颖', '董子健', '金士杰', '易小星', '张本煜', '李荣浩', '高华阳', '李淳', '孙伊涵', '熊黎', '李春嫒', '潘米', '小马达', '金毛期期', '孙启恒', '孙强', '彭菲茗', '贾川西', '张国庆', '程诚', '白珞力', '方励', '郭佳杰', '冷海铭']","['剧情', '喜剧']",['中国大陆'],['汉语普通话'],102
96,西游记之大闹天宫,2014-01-31,104499,41.9303,40,4.3,141174,['郑保瑞'],"['甄子丹', '周润发', '郭富城', '何润东', '海一天', '夏梓桐', '陈乔恩', '陈慧琳', '梁咏琪', '张梓琳', '郑家星', '刘桦', '张兆辉', '罗子溢', '李菁', '汪圆圆', '梁雨恩']","['动作', '奇幻']","['中国大陆', '中国香港']","['汉语普通话', '粤语']",119
97,神偷奶爸3,2017-07-07,103791,34.05839,20,6.8,254696,"['凯尔·巴尔达', '皮埃尔·柯芬', '埃里克·吉隆']","['史蒂夫·卡瑞尔', '克里斯汀·韦格', '崔·帕克', '米兰达·卡斯格拉夫', '达纳·盖尔', '内芙·沙雷尔', '皮埃尔·柯芬', '史蒂夫·库根', '朱莉·安德鲁斯', '珍妮·斯蕾特', '迈克尔·贝亚蒂', '安迪·尼曼', '阿德里安·奇斯卡托', '布莱恩·T·德莱尼', '肯·道里欧']","['喜剧', '动画', '冒险']",['美国'],['英语'],90
98,刺杀小说家,2021-02-12,103518,47.2659,16,6.5,635705,['路阳'],"['雷佳音', '杨幂', '董子健', '于和伟', '郭京飞', '佟丽娅', '董洁', '王圣迪', '杨轶', '刘天佐', '李柄辉', '萧子墨', '双雪涛', '徐建', '刘迅', '李士刚', '袁帅', '任杰', '李军', '陈铁军', '李泰延', '张优', '张戈', '谭天宇', '虞书欣', '高睿菲儿', '吴振熙', '王为成', '黄皓达', '韩陌', '赵尤若男', '康嘉泽', '王洁', '伍艺', '张懿', '李楠', '关乐', '马一萍']","['动作', '奇幻', '冒险']",['中国大陆'],['汉语普通话'],130
99,惊奇队长,2019-03-08,103517,37.17917,14,6.8,491435,"['安娜·波顿', '瑞安·弗雷克']","['布丽·拉尔森', '裘德·洛', '塞缪尔·杰克逊', '本·门德尔森', '安妮特·贝宁', '麦肯娜·格瑞丝', '克拉克·格雷格', '嘉玛·陈', '李·佩斯', '杰曼·翰苏', '拉什纳·林奇', '阿基拉·阿克巴', '科林·福特', '卓库·莫度', '肯内特·米歇尔', '罗伯特·卡辛斯基', '詹姆斯·莫里森', '皮特·普劳泽克', '马修·马希尔', '安东尼·莫利纳利', '马修·弗林·贝罗斯', '加斯顿·达尔莫', '亚当·哈特', '马克·多尔蒂', '雷尼尔·鲁菲诺', '约翰·盖蒂尔', '斯坦·李', '克里斯·埃文斯', '斯嘉丽·约翰逊', '马克·鲁弗洛', '唐·钱德尔']","['动作', '科幻', '冒险']","['美国', '澳大利亚']",['英语'],124
