,电影名,上映日期,票房(万元),平均票价,场均人数,豆瓣评分,豆瓣评论数,导演,演员,类型,地区,语言,时长
204,神奇动物在哪里,2016-11-25,59085,34.902664,21,7.7,607254,['大卫·叶茨'],"['埃迪·雷德梅恩', '凯瑟琳·沃特斯顿', '丹·福勒', '艾莉森·萨多尔', '科林·法瑞尔', '埃兹拉·米勒', '朗·普尔曼', '强·沃特', '萨曼莎·莫顿', '嘉玛·陈', '卡门·艾乔戈', '克里斯汀·马扎诺', '詹·穆瑞', '约翰尼·德普']","['剧情', '奇幻', '冒险']","['英国', '美国']",['英语'],133
205,美女与野兽,2017-03-17,59040,35.080605,16,7.1,390807,['比尔·康顿'],"['艾玛·沃森', '丹·史蒂文斯', '卢克·伊万斯', '凯文·克莱恩', '乔什·加德', '伊万·麦克格雷格', '伊恩·麦克莱恩', '艾玛·汤普森', '斯坦利·图齐', '古古·姆巴塔-劳', '奥德拉·麦克唐纳', '内森·麦克', '哈蒂·莫拉汉', '迈克尔·吉普森', '水野索诺娅', '亨利·加勒特', '戴尔·布兰斯顿']","['爱情', '歌舞', '奇幻']",['美国'],['英语'],129
206,匆匆那年,2014-12-05,58861,34.74073,24,5.6,266223,['张一白'],"['彭于晏', '倪妮', '郑恺', '魏晨', '张子萱', '陈赫', '毕夏', '刘雅瑟', '曹卫宇', '张宁江']",['爱情'],['中国大陆'],['汉语普通话'],119
207,火星救援,2015-11-25,58571,36.772423,24,8.5,704229,['雷德利·斯科特'],"['马特·达蒙', '杰西卡·查斯坦', '克里斯汀·韦格', '杰夫·丹尼尔斯', '迈克尔·佩纳', '凯特·玛拉', '肖恩·宾', '塞巴斯蒂安·斯坦', '唐纳德·格洛弗', '切瓦特·埃加福', '阿卡塞尔·亨涅', '陈数', '高雄', '本尼迪克特·黄', '麦肯兹·戴维斯', '娜奥米·斯科特', '丽丽·博尔丹', '布莱恩·卡斯佩']","['剧情', '科幻', '冒险']","['英国', '美国', '匈牙利', '约旦']","['英语', '汉语普通话']",142
208,超凡蜘蛛侠2,2014-05-04,58538,38.662636,23,7.7,286569,['马克·韦布'],"['安德鲁·加菲尔德', '艾玛·斯通', '杰米·福克斯', '戴恩·德哈恩', '科鲁姆·费奥瑞', '菲丽希缇·琼斯', '保罗·吉亚玛提', '莎莉·菲尔德', '斯坦·李', '艾伯丝·戴维兹', '坎贝尔·斯科特', '马尔顿·索克斯', '路易斯·坎瑟米', '麦克斯·查尔斯', 'B·J·诺瓦克', '莎拉·加顿', '迈克尔·麦斯', '比尔·赫克', '泰迪·库卢卡', '艾迪·布莱恩特', '马克·多赫蒂', '詹姆斯·科尔比', '卡丽·科尔曼', '斯凯勒·吉桑多', '查理·迪皮尤', 'Robert Newman', '阿德里安·马丁斯', '詹姆斯·迈克尔·麦考利', 'Greg Connolly', '蒂摩西·亚当斯', '塔格·库克尔', '克莱姆·张', 'Dusan Hyska', 'Dario Barosso', '大卫·石', '丹尼尔·格罗尔', '史蒂文·豪克', '雷金纳德·巴恩斯', '克雷利·伯杰', '瑞克·博兰德', 'Sean Buttimer', '克里斯·库珀', 'Chris Cullen', '朱莉亚·戴维斯', '弗兰克·迪尔']","['动作', '科幻', '奇幻', '冒险']",['美国'],['英语'],142
209,2012,2009-11-13,58444,33.303165,46,8.0,555647,['罗兰·艾默里奇'],"['约翰·库萨克', '阿曼达·皮特', '切瓦特·埃加福', '坦迪·牛顿', '奥利弗·普莱特', '汤姆·麦卡锡', '伍迪·哈里森', '丹尼·格洛弗', '连姆·詹姆斯', '摩根·莉莉', '扎特科·巴瑞克', '毕崔斯·罗森', 'Alexandre Haussmann', 'Philippe Haussmann', '乔翰·厄布', '约翰·比灵斯列', '黄经汉', '周逸之', '张铮', '卢燕', '布鲁·曼库马', '乔治·席格', '帕特里克·波查', '吉米·米斯特雷', '瑞安·麦克唐纳德', '玛丽莲·江恩', '区亨利', '帕特里克·吉尔莫', '韦弗·里库克', '多隆·贝尔', '大卫·奥斯', '泰·奥尔森', 'Zinaid Memisevic', 'BJ·哈里森', 'Dominic Zamprogna', '卡琳·考诺娃', 'Mary Gillis', '郑柏恒', 'Parm Soor', '杰拉德·普伦科特', '伊芙·哈洛', '肖恩·泰森', '迈克尔·巴佛', '达伦·A·赫伯特', '朱迪·汤普森', '坦娅·钱普', '弗兰克·C·特纳', '拉腊·萨迪克', '吉莲·芭伯', '贝薇莉·埃利奥特', '阿加·达什', '拉吉·拉尔', '杰克博·布莱尔', 'Scott E. Miller', '安娜-梅劳特里奇', '艾迪·哈塞尔', '亚历桑德拉·卡斯蒂略', '李利强', '杰夫·古斯塔夫森', '艾力克斯·萨哈拉', '杰森·格里菲斯', '吉尔·莫里森']","['科幻', '灾难']","['美国', '加拿大']","['英语', '法语', '藏语', '汉语普通话', '俄语', '印地语', '葡萄牙语', '拉丁语', '意大利语']",158
210,邪不压正,2018-07-13,58352,35.564896,16,7.0,685154,['姜文'],"['彭于晏', '廖凡', '姜文', '周韵', '许晴', '泽田谦也', '安地', '史航', '李梦', '丁嘉丽', '陈曦']","['剧情', '喜剧', '动作']",['中国大陆'],"['汉语普通话', '英语', '日语', '法语']",137
211,白蛇2：青蛇劫起,2021-07-23,58021,39.02653,7,6.8,370591,['黄家康'],"['唐小喜', '歪歪', '魏超', '赵铭洲', '郑小璞', '马程', '宋旭晨', '邱秋', '张凯', '徐佳琦', '老鬼', '张碧玉', '张喆', '杨天翔', '宝木中阳', '林强']","['动画', '奇幻', '冒险']",['中国大陆'],['汉语普通话'],131
212,追龙,2017-09-30,57726,32.49085,20,7.2,342692,"['王晶', '关智耀']","['甄子丹', '刘德华', '姜皓文', '郑则仕', '刘浩龙', '汤镇业', '喻亢', '胡然', '徐冬冬', '黄日华', '陈惠敏', '周励淇', '吴毅将']","['动作', '犯罪']","['中国香港', '中国大陆']","['粤语', '汉语普通话']",128
213,你的名字。,2016-12-02,57571,27.830141,22,8.5,1353025,['新海诚'],"['神木隆之介', '上白石萌音', '长泽雅美', '市原悦子', '成田凌', '悠木碧', '岛崎信长', '石川界人', '谷花音', '寺杣昌纪', '大原沙耶香', '井上和彦', '茶风林', '加藤有花', '花泽香菜', '寺崎裕香']","['剧情', '爱情', '动画']",['日本'],['日语'],106
214,大鱼海棠,2016-07-08,57378,32.934837,23,7.0,553146,"['梁旋', '张春']","['季冠霖', '苏尚卿', '许魏洲', '金士杰', '杨婷', '潘淑兰', '九儿', '王德顺', '张媛媛', '薛立方', '姜广涛', '张杰', '马正阳', '宝木中阳', '刘校妤']","['剧情', '动画', '奇幻']",['中国大陆'],['汉语普通话'],105
215,少年派的奇幻漂流,2012-11-22,57288,39.428986,38,9.1,1318064,['李安'],"['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布', '阿尤什·坦东', '加塔姆·贝鲁尔', '阿彦·汗', '穆德·阿巴斯·卡勒里', '维比什·希瓦库玛', '热拉尔·德帕迪约', '詹姆斯·斋藤', '俊·奈托', '安德里亚·迪·斯戴法诺', '沙拉万提·塞纳特', '王柏杰', '柯一正', '黄健玮']","['剧情', '奇幻', '冒险']","['美国', '中国台湾', '英国', '加拿大']","['英语', '泰米尔语', '法语', '日语', '印地语', '汉语普通话']",127
216,复仇者联盟,2012-05-05,56827,41.705013,33,8.5,1043788,"['安东尼·罗素', '乔·罗素']","['小罗伯特·唐尼', '克里斯·埃文斯', '马克·鲁弗洛', '克里斯·海姆斯沃斯', '乔什·布洛林', '保罗·路德', '凯伦·吉兰', '杰瑞米·雷纳', '斯嘉丽·约翰逊', '唐·钱德尔', '布丽·拉尔森', '布莱德利·库珀', '泰莎·汤普森', '汤姆·赫兰德', '伊丽莎白·奥尔森', '本尼迪克特·康伯巴奇', '蒂尔达·斯文顿', '格温妮斯·帕特洛', '蕾妮·罗素', '约翰·斯拉特里', '查德维克·博斯曼', '安东尼·麦凯', '塞巴斯蒂安·斯坦', '克里斯·帕拉特', '汤姆·希德勒斯顿', '佐伊·索尔达娜', '丹娜·奎里拉', '本尼迪克特·黄', '庞·克莱门捷夫', '戴夫·巴蒂斯塔', '利蒂希娅·赖特', '伊万杰琳·莉莉', '乔恩·费儒', '海莉·阿特维尔', '娜塔莉·波特曼', '玛丽莎·托梅', '塔伊加·维迪提', '安吉拉·贝塞特', '迈克尔·道格拉斯', '米歇尔·菲佛', '威廉·赫特', '寇碧·史莫德斯', '肖恩·古恩', '温斯顿·杜克', '琳达·卡德里尼', '马克斯米利亚诺·赫尔南德斯', '弗兰克·格里罗', '真田广之', '汤姆-沃恩-劳勒', '詹姆斯·达西', '雅各布·巴特朗', '范·迪塞尔', '罗伯特·雷德福', '塞缪尔·杰克逊', '伊薇特·尼科尔·布朗', '卡梅伦·布鲁姆布罗', '蒂莫西·卡尔', '凯瑞·康顿', '迈克尔·A·库克', '凯莉·库恩', '艾玛·福尔曼', '雷纳·加拉赫', '丹妮拉·加斯基', '郑肯', '小弗洛伊德·安东尼·约翰', '斯坦·李', '罗斯·马昆德', '布伦特·麦吉', '迈克尔·皮耶里诺·米勒', '卡兰·马尔韦', '泰瑞·诺塔里', '吉米·雷·皮肯斯', '迈克尔·詹姆斯·肖', '泰·辛普金斯', '格雷格·蒂芬']","['剧情', '动作', '科幻', '奇幻', '冒险']",['美国'],"['英语', '日语', '科萨语']",181
217,杀破狼2,2015-06-18,55966,36.174625,25,7.5,181662,['郑保瑞'],"['吴京', '托尼·贾', '张晋', '任达华', '卢惠光', '恭硕良', '林嘉华', '蔡瀚亿', '艾威', '姜皓文', '张驰', '寇占文', '古天乐', '袁嘉敏']","['剧情', '动作', '犯罪']","['中国香港', '中国大陆']","['汉语普通话', '粤语', '英语', '泰语', '韩语']",120
218,新神榜：杨戬,2022-08-19,55550,42.119488,5,7.0,256339,['赵霁'],"['王凯', '季冠霖', '李立宏', '李兰陵', '赵毅', '刘校妤', '文靖渊', '汤水雨', '星潮', '邱秋', '杨天翔', '孟宇', '杨默', '赵铭洲', '李楠', '林强', '刘琮', '锦鲤', '沈良骏', '赵霁', '胡亚捷', '韩乐']","['动作', '动画', '奇幻', '冒险']",['中国大陆'],['汉语普通话'],127
219,爱情公寓,2018-08-10,55545,35.352978,27,3.2,257258,['韦正'],"['陈赫', '袁弘', '娄艺潇', '邓家佳', '孙艺洲', '李佳航', '李金铭', '刘天佐', '赵志伟', '张双利', '徐磊', '韦正', '汪远', '朱桢', '于立', '榕榕', '罗姝涵', '许和琪', '刘雨昕', '张希雅', '孔雪儿', '关凯元', '张悠然', '周煊', '丧钟大师', '老驴', '张天馨', '刘宇馨', '陈旭明', '王思博', '赵子豪', '杨朕', '郝宇', '徐梦洁', '常钰', '韩丹', '严丰', '郭林钧']","['喜剧', '冒险']",['中国大陆'],['汉语普通话'],117
220,哥，你好,2022-09-09,54798,41.639717,4,4.8,91814,['张栾'],"['马丽', '常远', '魏翔', '贾冰', '黄允桐', '韩彦博', '张一鸣', '郝鹏飞', '李一宁', '李志荟', '刘语乔', '张佳雯', '吕宁', '王伟']","['剧情', '喜剧', '奇幻']",['中国大陆'],['汉语普通话'],111
221,战狼,2015-04-02,54469,34.260075,25,7.1,886557,['吴京'],"['吴京', '弗兰克·格里罗', '吴刚', '张翰', '卢靖姗', '丁海峰', '淳于珊珊', '余男', '于谦', '石兆琪', '海蒂·莫尼梅克', '奥列格·亚历山大罗维奇', '艾伦·托尼', '赛尔·哈里斯', '高明', '王森', '苇青', '程愫', '张永达', '郭秋成', '杜建桥', '周冠廷', '安·詹姆斯', '黛安娜·希拉', '孙率航', '张馨月', '关海龙', '安妮塔·斯图尔特', '特雷弗·琼斯', '奥斯汀·普里斯特', '克莱·方特诺特', '保罗·艾力卡', '丹尼尔·哈格里夫', '李镇男', '庄小龙', '陈云志', '肯尼迪']","['动作', '战争']",['中国大陆'],"['汉语普通话', '英语']",123
222,四海,2022-02-01,54277,53.10559,17,5.3,228562,['韩寒'],"['刘昊然', '刘浩存', '沈腾', '尹正', '乔杉', '周奇', '张宥浩', '冯绍峰', '黄晓明', '王彦霖', '陈小春', '吴彦姝', '万梓良', '赵子琪']","['喜剧', '动作', '爱情']",['中国大陆'],['汉语普通话'],128
223,007：幽灵党,2015-11-13,54113,31.537039,28,6.5,190687,['萨姆·门德斯'],"['丹尼尔·克雷格', '克里斯托弗·瓦尔兹', '蕾雅·赛杜', '本·卫肖', '娜奥米·哈里斯', '戴夫·巴蒂斯塔', '莫妮卡·贝鲁奇', '拉尔夫·费因斯', '斯黛芬妮·西格曼', '安德鲁·斯科特', '罗里·金尼尔', '内芙·加切夫', '加斯帕·克里斯滕森', '丹尼尔·斯蒂森', '丹尼尔·韦斯特伍德', '拉斯科·阿特金斯']","['动作', '惊悚', '冒险']","['英国', '美国', '奥地利', '墨西哥', '意大利', '摩洛哥']","['英语', '西班牙语', '意大利语', '德语', '法语']",148
224,中国合伙人,2013-05-17,54064,32.145626,27,7.6,616574,['陈可辛'],"['黄晓明', '邓超', '佟大为', '杜鹃', '王真儿', '乔治·安东', '杨晨', '张籽沐', '雷昊汶', '佟磊', '刘天佐', 'Claire Quirk', 'Daniel Berkey', '公翠英', '于膨玮', '冯仑', '宇轩', '胡明杨', '柏明', '唐晓峰', '凯特琳·菲茨杰拉德', '杨轶', '吴越坤', '张跃德', '毛大庆', '田朴珺', 'John Taylor', '闫锐', 'Barbara Malley', 'Tracey Ilgner', 'Catherine Gibson', 'Anthony Santoro', '艾梓童', '黄卫', '黄天齐', '康晟闻', '雷瑷嘉']",['剧情'],"['中国大陆', '中国香港']","['英语', '汉语普通话']",112
225,龙门飞甲,2011-12-15,53992,44.14198,35,6.9,296956,['徐克'],"['李连杰', '周迅', '陈坤', '李宇春', '桂纶镁', '范晓萱', '樊少皇', '杜奕衡', '刘家辉', '张馨予', '盛鉴', '薛剑', '王双宝', '韩飞行', '李炳渊', '庄杰', '吴迪', '李军如', '李思博', '翟钢', '吕德亮', '戴明', '周大庆', '安琪儿', '高杰', '钢特木尔', '张秋风', '张东', '白斯古楞', '石占杰', '石凯', '卫博', '沙学周', '肖瑞', '吴飞', '张兆玉', '张成林', '吴正林']","['剧情', '动作', '武侠', '古装']","['中国大陆', '中国香港']",['汉语普通话'],122
226,英伦对决,2017-09-30,53983,37.63522,19,7.0,218917,['马丁·坎贝尔'],"['成龙', '皮尔斯·布鲁斯南', '刘涛', '梁佩诗', '夏莉·墨菲', '欧拉·布莱蒂', '迈克尔·麦克埃尔哈顿', '西蒙·坤茨', '雷·费隆', '罗里·弗莱克-拜恩', '皮帕·贝内特-华纳', '德尔莫特·克劳利', '蒂利亚纳·布克丽瓦', '鲁弗斯·琼斯', '斯蒂芬·霍根']","['动作', '犯罪']","['英国', '中国大陆', '美国']","['英语', '汉语普通话']",113
227,除暴,2020-11-20,53821,37.087032,8,6.1,250561,['刘浩良'],"['王千源', '吴彦祖', '春夏', '卫诗雅', '大力', '于笑', '胡子程', '李晓川', '洪浚嘉', '纪焕博', '庞雨浓', '答有为', '鲍起静', '尤勇智', '王超北', '胡晨曦']","['剧情', '动作', '犯罪']","['中国香港', '中国大陆']","['粤语', '汉语普通话']",95
228,警察故事2013,2013-12-24,53406,39.545963,25,5.9,120519,['丁晟'],"['成龙', '刘烨', '景甜', '殷桃', '那威', '刘仪伟', '柳海龙', '周晓鸥', '于荣光', '吴樾', '刘佩琦', '古力娜扎']","['剧情', '动作', '犯罪']","['中国大陆', '中国香港']",['汉语普通话'],108
229,妖猫传,2017-12-22,53026,35.54714,23,6.9,714540,['陈凯歌'],"['黄轩', '染谷将太', '张雨绮', '秦昊', '张榕容', '刘昊然', '欧豪', '张鲁一', '阿部宽', '田雨', '刘佩琦', '辛柏青', '成泰燊', '李淳', '秦怡', '松坂庆子', '张天爱', '周中和', '火野正平', '夏楠', '陈旭', '王迪', '宋运成']","['剧情', '悬疑', '奇幻', '古装']","['中国大陆', '日本']","['汉语普通话', '日语']",129
230,哆啦A梦：伴我同行,2015-05-28,52916,34.66687,22,8.1,268196,"['八木龙一', '山崎贵']","['水田山葵', '大原惠美', '嘉数由美', '木村昴', '关智一', '三石琴乃', '松本保典', '田原阿尔诺', '竹内都子', '荻野志保子', '高木涉', '松本幸', '佐藤美由希', 'Lynn', '妻夫木聪']","['剧情', '动画']",['日本'],['日语'],95
231,超能陆战队,2015-02-28,52625,36.70751,25,8.7,983054,"['唐·霍尔', '克里斯·威廉姆斯']","['斯科特·安第斯', '瑞恩·波特', '丹尼尔·海尼', 'T·J·米勒', '郑智麟', '小达蒙·韦恩斯', '珍尼希斯·罗德里格兹', '詹姆斯·克伦威尔', '艾伦·图代克', '玛娅·鲁道夫', '亚布拉哈姆·本鲁比', '凯蒂·洛斯', '比利·布什', '丹尼尔·吉尔森', '保罗·布里格斯']","['喜剧', '动作', '科幻', '动画', '冒险']",['美国'],['英语'],102
232,澳门风云,2014-01-31,52471,32.365917,31,4.4,145623,"['王晶', '刘伟强']","['周润发', '刘德华', '张家辉', '张学友', '余文乐', '李宇春', '刘嘉玲', '王诗龄', '向佐', '胡然', '元秋', '鸟叔', '童飞', '罗家英', '卢海鹏']","['喜剧', '动作']","['中国香港', '中国大陆']","['汉语普通话', '粤语']",112
233,杀破狼·贪狼,2017-08-17,52291,32.32158,18,7.0,167754,['叶伟信'],"['古天乐', '吴樾', '托尼·贾', '林家栋', '高战', '郑雪儿', '卢惠光', '蔡洁', '陈汉娜', '维他亚·潘斯林加姆', '索姆波布·本贾蒂库尔', '斯拉潘·瓦塔纳金达']","['剧情', '动作']","['中国香港', '中国大陆']","['粤语', '泰语', '英语']",101
234,熊出没·奇幻空间,2017-01-28,52114,34.320858,27,6.4,18554,"['林永长', '林汇达', '丁亮']","['尚雯婕', '鲍春来', '孙建弘', '曾舜晞']","['动画', '儿童']",['中国大陆'],['汉语普通话'],90
235,小时代3：刺金时代,2014-07-17,52098,31.580196,33,4.7,237143,['郭敬明'],"['杨幂', '柯震东', '郭采洁', '陈学冬', '郭碧婷', '谢依霖', '李贤宰', '锦荣', '任言恺', '王琳', '姜潮', '商侃', '杜天皓']","['剧情', '喜剧', '爱情']","['中国大陆', '中国台湾']","['汉语普通话', '英语']",126
236,北京遇上西雅图,2013-03-21,52013,31.550077,31,7.3,574798,['薛晓路'],"['汤唯', '吴秀波', '海清', '宋美曼', '宋美慧', '金燕玲', '买红妹', '布拉德·哈德', '李绮虹']","['喜剧', '爱情']","['中国大陆', '中国香港']","['汉语普通话', '英语', '闽南语']",123
237,一步之遥,2014-12-18,51376,42.4509,25,6.6,304194,['姜文'],"['姜文', '葛优', '周韵', '舒淇', '文章', '王志文', '洪晃', '刘利年', '那英', '刘索拉', '牛犇', '姜洪齐']","['剧情', '喜剧', '动作']","['中国大陆', '美国', '中国香港']","['汉语普通话', '英语', '上海话', '法语', '日语', '满语', '越南语', '拉丁语']",140
238,愤怒的小鸟,2016-05-20,51297,31.765778,16,7.2,116841,"['费格尔·雷利', '克雷·卡提斯']","['杰森·苏戴奇斯', '乔什·加德', '丹尼·麦克布莱德', '玛娅·鲁道夫', '西恩·潘', '凯特·麦克金农', '彼特·丁拉基', '比尔·哈德尔', '托尼·海尔', '丹妮埃拉·布鲁克斯', '吉莉恩·贝尔', '科甘-迈克尔·凯', '伊克·巴里霍尔兹', '吉奥弗瑞·阿伦德', '麦克斯·查尔斯', '布莱克·谢尔顿', '泰塔斯·伯吉斯', '汉尼拔·布勒斯', '克里斯黛拉·阿朗索', '安东尼·帕迪利亚', '比利·艾希纳']","['喜剧', '动画', '冒险']","['芬兰', '美国']",['英语'],97
239,滚蛋吧！肿瘤君,2015-08-13,51045,33.640533,25,7.4,419534,['韩延'],"['白百何', '吴彦祖', '李媛', '刘芮麟', '程伊', '刘莉莉', '李建义', '张子萱', '沈腾']","['喜剧', '爱情']",['中国大陆'],"['汉语普通话', '英语', '韩语']",128
240,动物世界,2018-06-29,50967,36.847546,13,7.2,540984,['韩延'],"['李易峰', '迈克尔·道格拉斯', '周冬雨', '曹炳琨', '王戈', '苏可']","['剧情', '动作', '冒险']",['中国大陆'],"['汉语普通话', '英语']",132
241,我在时间尽头等你,2020-08-25,50541,35.25256,16,5.3,67288,['姚婷婷'],"['李鸿其', '李一桐', '范伟', '张超', '罗辑', '郭欣禹']","['爱情', '奇幻']",['中国大陆'],['汉语普通话'],115
242,1921,2021-07-01,50474,34.85736,8,6.7,163801,"['黄建新', '郑大圣']","['黄轩', '倪妮', '王仁君', '刘昊然', '袁文康', '祖峰', '窦骁', '张颂文', '刘家祎', '王俊凯', '王源', '欧豪', '韩东君', '张超', '张云龙', '胡先煦', '陈坤', '李晨', '倪大红', '田雨', '谢孟伟', '冯绍峰', '刘诗诗', '宋佳', '宋轶', '殷桃', '安泽豪', '袁泉', '周也', '欧阳娜娜', '魏大勋', '张雪迎', '王弋萱', '埃里克·迪恩', '乔什·怀特豪斯', '奥田瑛二', '白石隼也', '池松壮亮', '朱一龙', '白宇', '倪寒尽', '许凯', '张若昀', '张建亚', '赵露思', '钟楚曦', '雷佳音', '郭子凡', '欧阳卫熹', '陈美伊', '胡连馨', '陈仟钰', '夏梦', '陈雨锶', '俞灏明', '王森', '谷嘉诚', '张宥浩', '赵弈钦', '刘畅', '马天宇', '史彭元', '陈龙', '韩昊霖', '彭楚粤', '王锵', '刘冬沁', '叶璇', '佟瑞欣', '于慧', '曹骏', '陶海', '叶祖新', '范世錡', '于湉', '白宇帆', '张晓晨', '李子峰', '方逸伦', '刘佩琦', '张海宇', '周游', '生港帅', '叶筱玮', '吴希泽', '刘帅', '李殿尊', '王天辰', '此沙', '达伦·格罗夫纳', '托马斯·菲凯', '刘泊霄', '小爱', '张洪睿', '耿乐', '叶火', '潘斌龙', '李感', '罗泽楷', '徐佳', '高容方', '刘恩佳', '徐晓璐', '刘哲尔', '佟丽娅', '佟大为', '薛佳凝', '张婧仪', '包贝尔', '张哲瀚']","['剧情', '历史']",['中国大陆'],['汉语普通话'],137
243,黑衣人3,2012-05-25,50345,40.718327,28,7.7,282252,['巴里·索南菲尔德'],"['威尔·史密斯', '汤米·李·琼斯', '乔什·布洛林', '杰梅奈·克莱门特', '艾玛·汤普森', '尼可·斯彻金格', '爱丽丝·伊芙', '大卫·拉斯彻', '比尔·哈德尔', '迈克尔·斯图巴']","['喜剧', '动作', '科幻']",['美国'],['英语'],103
244,独立日：卷土重来,2016-06-24,50219,35.726177,24,5.7,117546,['罗兰·艾默里奇'],"['利亚姆·海姆斯沃斯', '杰夫·高布伦', '麦卡·梦露', '杰西·厄舍', '比尔·普尔曼', '夏洛特·甘斯布', '特拉维斯·托普', '杨颖', '雪拉·渥德', '威廉·菲克纳', '贾德·赫希', '布伦特·斯皮内', '乔伊·金', '薇薇卡·福克斯', '麦肯娜·格瑞丝', '道比·欧帕瑞', '袁文忠', '史蒂芬·布莱克史密斯']","['动作', '科幻', '冒险']",['美国'],"['英语', '汉语普通话']",120
245,古墓丽影：源起之战,2018-03-16,49748,35.066303,14,6.0,145336,['罗阿尔·乌索格'],"['艾丽西亚·维坎德', '吴彦祖', '多米尼克·韦斯特', '沃尔顿·戈金斯', '克里斯汀·斯科特·托马斯', '汉娜·乔恩-卡门', '尼克·弗罗斯特', '德里克·雅各比', '安东尼奥·阿克儿', '亚历山大·维尧姆', '杰美·温斯顿', '迈克尔·奥拜奥拉', '艾米丽·凯里', '肯尼思·霍']","['动作', '冒险']",['美国'],['英语'],118
246,盗梦空间,2010-09-01,49620,30.196941,40,9.4,2007576,['克里斯托弗·诺兰'],"['莱昂纳多·迪卡普里奥', '约瑟夫·高登-莱维特', '艾利奥特·佩吉', '汤姆·哈迪', '渡边谦', '迪利普·劳', '基里安·墨菲', '汤姆·贝伦杰', '玛丽昂·歌迪亚', '皮特·波斯尔思韦特', '迈克尔·凯恩', '卢卡斯·哈斯', '李太力', '克莱尔·吉尔蕾', '马格努斯·诺兰', '泰勒·吉蕾', '乔纳森·吉尔', '水源士郎', '冈本玉二', '厄尔·卡梅伦', '瑞恩·海沃德', '米兰达·诺兰', '拉什·费加', '蒂姆·科勒赫', '妲露拉·莱莉']","['剧情', '科幻', '悬疑', '冒险']","['美国', '英国']","['英语', '日语', '法语']",148
247,勇敢者游戏：决战丛林,2018-01-12,49196,34.19796,18,6.8,199810,['杰克·卡斯丹'],"['道恩·强森', '凯文·哈特', '杰克·布莱克', '凯伦·吉兰', '尼克·乔纳斯', '瑞斯·达比', '鲍比·坎纳瓦尔', '亚历克斯·沃尔夫', '瑟达吕斯·布兰', '麦迪森·伊瑟曼', '摩根·特纳', '梅森·古乔内', '马克·埃文·杰克逊', '玛琳·辛科', '特雷西·邦纳', '玛莉贝丝·梦露', '米西·派勒', '杰米·雷内尔', '卡尔利斯·布克', '罗翰·昌德', '科林·汉克斯']","['喜剧', '动作', '奇幻', '冒险']","['美国', '印度', '加拿大', '英国', '澳大利亚', '德国']",['英语'],119
248,千与千寻,2019-06-21,48828,31.226898,12,9.4,2176759,['宫崎骏'],"['柊瑠美', '入野自由', '夏木真理', '菅原文太', '中村彰男', '玉井夕海', '神木隆之介', '内藤刚志', '泽口靖子', '我修院达也', '大泉洋', '小林郁夫', '上条恒彦', '小野武彦']","['剧情', '动画', '奇幻']",['日本'],['日语'],125
249,紧急救援,2020-12-18,48524,38.620674,9,5.9,119038,['林超贤'],"['彭于晏', '王彦霖', '辛芷蕾', '蓝盈莹', '王雨甜', '徐洋', '陈家乐', '李岷城', '张景祎', '李欣蕊', '郭晓东', '张国强', '魏大勋', '连凯']","['动作', '灾难']","['中国大陆', '中国香港']","['汉语普通话', '英语']",134
250,小时代4：灵魂尽头,2015-07-09,48469,30.987238,33,5.0,191295,['郭敬明'],"['杨幂', '郭采洁', '陈学冬', '郭碧婷', '谢依霖', '李贤宰', '锦荣', '任言恺', '姜潮', '王琳', '商侃']","['喜剧', '爱情']",['中国大陆'],['汉语普通话'],116
251,左耳,2015-04-24,48442,33.99673,25,5.7,263458,['苏有朋'],"['陈都灵', '欧豪', '杨洋', '马思纯', '段博文', '胡夏', '关晓彤', '包文婧', '蒋雯丽', '成泰燊', '谢娜', '樊玲']","['剧情', '爱情']",['中国大陆'],['汉语普通话'],117
252,小时代,2013-06-27,48432,31.816536,32,4.9,415948,['郭敬明'],"['杨幂', '柯震东', '郭采洁', '郭碧婷', '谢依霖', '凤小岳', '李悦铭', '陈学冬', '姜潮', '杜天皓', '商侃', '王琳', '丁巧唯']","['剧情', '喜剧', '爱情']","['中国大陆', '中国台湾']",['汉语普通话'],116
253,王牌特工：特工学院,2015-03-27,48367,33.911823,29,8.4,651422,['马修·沃恩'],"['塔伦·埃哲顿', '科林·费尔斯', '塞缪尔·杰克逊', '迈克尔·凯恩', '马克·斯特朗', '索菲·库克森', '索菲亚·波多拉', '马克·哈米尔', '杰克·达文波特', '萨曼塔·沃马克', '汉娜·奥斯特罗姆', '约诺·戴维斯', '亚历克斯·尼科洛夫', '维利贝·托皮奇', '杰夫·贝尔', '艾德里安·奎因顿', '乔丹·朗', '西奥·巴克利姆-比格斯', '摩根·华金斯', '拉尔夫·伊内森', '爱德华·霍尔克罗夫特', '尼古拉斯·班克斯']","['喜剧', '动作', '冒险']","['英国', '美国']","['英语', '阿拉伯语', '瑞典语']",125
254,我不是潘金莲,2016-11-18,48279,35.103405,19,6.7,257323,['冯小刚'],"['范冰冰', '郭涛', '大鹏', '张嘉益', '于和伟', '张译', '李宗翰', '赵立新', '田小洁', '范伟', '高明', '刘桦', '黄建新', '李晨']","['剧情', '喜剧']",['中国大陆'],['汉语普通话'],140
